Patient_ID	Gene	Value	Hypermethylated
TCGA-3C-AAAU	AKT1	0.024	FALSE
TCGA-3C-AALI	AKT1	0.02005	FALSE
TCGA-3C-AALJ	AKT1	0.0236	FALSE
TCGA-3C-AALK	AKT1	0.02275	FALSE
TCGA-4H-AAAK	AKT1	0.02205	FALSE
TCGA-5L-AAT0	AKT1	0.0208	FALSE
TCGA-5L-AAT1	AKT1	0.027450000000000002	FALSE
TCGA-5T-A9QA	AKT1	0.024399999999999998	FALSE
TCGA-A1-A0SB	AKT1	0.018000000000000002	FALSE
TCGA-A1-A0SE	AKT1	0.0137	FALSE
TCGA-A1-A0SF	AKT1	0.01335	FALSE
TCGA-A1-A0SG	AKT1	0.01455	FALSE
TCGA-A1-A0SH	AKT1	0.0158	FALSE
TCGA-A1-A0SI	AKT1	0.0137	FALSE
TCGA-A1-A0SJ	AKT1	0.015099999999999999	FALSE
TCGA-A1-A0SK	AKT1	0.019549999999999998	FALSE
TCGA-A1-A0SM	AKT1	0.0141	FALSE
TCGA-A1-A0SN	AKT1	0.01345	FALSE
TCGA-A1-A0SO	AKT1	0.013600000000000001	FALSE
TCGA-A1-A0SP	AKT1	0.0178	FALSE
TCGA-A1-A0SQ	AKT1	0.016	FALSE
TCGA-A2-A04R	AKT1	0.033	FALSE
TCGA-A2-A0CK	AKT1	0.02125	FALSE
TCGA-A2-A0CO	AKT1	0.01525	FALSE
TCGA-A2-A0CR	AKT1	0.0143	FALSE
TCGA-A2-A0CT	AKT1	0.0125	FALSE
TCGA-A2-A0EN	AKT1	0.014350000000000002	FALSE
TCGA-A2-A0EP	AKT1	0.02415	FALSE
TCGA-A2-A0EU	AKT1	0.013000000000000001	FALSE
TCGA-A2-A0ST	AKT1	0.0141	FALSE
TCGA-A2-A0SU	AKT1	0.0137	FALSE
TCGA-A2-A0SV	AKT1	0.0211	FALSE
TCGA-A2-A0SW	AKT1	0.01595	FALSE
TCGA-A2-A0SX	AKT1	0.015050000000000001	FALSE
TCGA-A2-A0SY	AKT1	0.0148	FALSE
TCGA-A2-A0T0	AKT1	0.0131	FALSE
TCGA-A2-A0T1	AKT1	0.015099999999999999	FALSE
TCGA-A2-A0T2	AKT1	0.0158	FALSE
TCGA-A2-A0T4	AKT1	0.01265	FALSE
TCGA-A2-A0T5	AKT1	0.016649999999999998	FALSE
TCGA-A2-A0T6	AKT1	0.0155	FALSE
TCGA-A2-A0T7	AKT1	0.01595	FALSE
TCGA-A2-A0YC	AKT1	0.015550000000000001	FALSE
TCGA-A2-A0YD	AKT1	0.014350000000000002	FALSE
TCGA-A2-A0YE	AKT1	0.0125	FALSE
TCGA-A2-A0YF	AKT1	0.0142	FALSE
TCGA-A2-A0YG	AKT1	0.0139	FALSE
TCGA-A2-A0YH	AKT1	0.01485	FALSE
TCGA-A2-A0YI	AKT1	0.01265	FALSE
TCGA-A2-A0YJ	AKT1	0.0144	FALSE
TCGA-A2-A0YK	AKT1	0.01085	FALSE
TCGA-A2-A0YL	AKT1	0.01515	FALSE
TCGA-A2-A0YM	AKT1	0.0131	FALSE
TCGA-A2-A0YT	AKT1	0.0153	FALSE
TCGA-A2-A1FV	AKT1	0.0167	FALSE
TCGA-A2-A1FW	AKT1	0.0181	FALSE
TCGA-A2-A1FX	AKT1	0.01515	FALSE
TCGA-A2-A1FZ	AKT1	0.020499999999999997	FALSE
TCGA-A2-A1G0	AKT1	0.01525	FALSE
TCGA-A2-A1G1	AKT1	0.01455	FALSE
TCGA-A2-A1G4	AKT1	0.01725	FALSE
TCGA-A2-A1G6	AKT1	0.01515	FALSE
TCGA-A2-A259	AKT1	0.01825	FALSE
TCGA-A2-A25A	AKT1	0.01575	FALSE
TCGA-A2-A25B	AKT1	0.0185	FALSE
TCGA-A2-A25C	AKT1	0.01735	FALSE
TCGA-A2-A25D	AKT1	0.01805	FALSE
TCGA-A2-A25E	AKT1	0.019200000000000002	FALSE
TCGA-A2-A25F	AKT1	0.01715	FALSE
TCGA-A2-A3KC	AKT1	0.0173	FALSE
TCGA-A2-A3KD	AKT1	0.0157	FALSE
TCGA-A2-A3XS	AKT1	0.0174	FALSE
TCGA-A2-A3XT	AKT1	0.017750000000000002	FALSE
TCGA-A2-A3XU	AKT1	0.0176	FALSE
TCGA-A2-A3XV	AKT1	0.0162	FALSE
TCGA-A2-A3XW	AKT1	0.01645	FALSE
TCGA-A2-A3XX	AKT1	0.016900000000000002	FALSE
TCGA-A2-A3XY	AKT1	0.0166	FALSE
TCGA-A2-A3XZ	AKT1	0.01695	FALSE
TCGA-A2-A3Y0	AKT1	0.015050000000000001	FALSE
TCGA-A2-A4RW	AKT1	0.0165	FALSE
TCGA-A2-A4RX	AKT1	0.018750000000000003	FALSE
TCGA-A2-A4RY	AKT1	0.019799999999999998	FALSE
TCGA-A2-A4S0	AKT1	0.019799999999999998	FALSE
TCGA-A2-A4S1	AKT1	0.019	FALSE
TCGA-A2-A4S2	AKT1	0.01925	FALSE
TCGA-A2-A4S3	AKT1	0.02095	FALSE
TCGA-A7-A0CE	AKT1	0.013850000000000001	FALSE
TCGA-A7-A0CH	AKT1	0.0133	FALSE
TCGA-A7-A0D9	AKT1	0.013825	FALSE
TCGA-A7-A0DB	AKT1	0.015	FALSE
